Name,Latitude,Longitude
Acadia,44.35,-68.21
American Samoa,-14.26,-170.69
Arches,38.68,-109.57
Badlands,43.75,-102.5
Big Bend,29.25,-103.25
Biscayne,25.65,-80.08
Black Canyon of the Gunnison,38.57,-107.72
Bryce Canyon,37.57,-112.18
Canyonlands,38.2,-109.93
Capitol Reef,38.2,-111.17
Carlsbad Caverns,32.17,-104.44
Channel Islands,34.01,-119.42
Congaree,33.79,-80.78
Crater Lake,42.94,-122.1
Cuyahoga Valley,41.24,-81.55
Death Valley,36.24,-116.82
Denali,63.33,-150.5
Dry Tortugas,24.63,-82.87
Everglades,25.32,-80.93
Gates of the Arctic,67.78,-153.3
Gateway Arch,38.63,-90.19
Glacier,48.8,-114
Glacier Bay,58.5,-137
Grand Canyon,36.06,-112.14
Grand Teton,43.73,-110.8
Great Basin,38.98,-114.3
Great Sand Dunes,37.73,-105.51
Great Smoky Mountains,35.68,-83.53
Guadalupe Mountains,31.92,-104.87
Haleakalā,20.72,-156.17
Hawaiʻi Volcanoes,19.38,-155.2
Hot Springs,34.51,-93.05
Indiana Dunes,41.65,-87.07
Isle Royale,48.1,-88.55
Joshua Tree,33.79,-115.9
Katmai,58.5,-155
Kenai Fjords,59.92,-149.65
Kings Canyon,36.8,-118.55
Kobuk Valley,67.55,-159.28
Lake Clark,60.97,-153.42
Lassen Volcanic,40.49,-121.51
Mammoth Cave,37.18,-86.1
Mesa Verde,37.18,-108.49
Mount Rainier,46.85,-121.75
New River Gorge,37.89,-81.05
North Cascades,48.7,-121.2
Olympic,47.8,-123.7
Petrified Forest,35.07,-109.78
Pinnacles,36.48,-121.16
Redwood,41.3,-124
Rocky Mountain,40.4,-105.58
Saguaro,32.25,-110.5
Sequoia,36.43,-118.68
Shenandoah,38.53,-78.35
Theodore Roosevelt,46.97,-103.45
Virgin Islands,18.33,-64.73
Voyageurs,48.5,-92.88
White Sands,32.78,-106.17
Wind Cave,43.57,-103.48
Wrangell-St. Elias,61,-142
Yellowstone,44.6,-110.5
Yosemite,37.83,-119.5
Zion,37.3,-113.05
